Starting Week,Year,UK L'Oreal Paris Haircare Total Offline Sellout Value (in pound),UK L'Oreal Paris Haircare Total Offline Sellout Units,UK L'Oreal Paris Haircare Total Online Sellout Value (in pound),UK L'Oreal Paris Haircare Total Online Sellout Units
2023-07-03,2023,2554774.3000000003,812134.7000000001,460438.55,117659.1
2023-07-10,2023,2724541.3000000003,872465.1,568942.79,139826.7
2023-07-17,2023,2648907.3000000003,860913.3,453810.89,120715.40000000001
2023-07-24,2023,2648605.7,876738.2000000001,493233.26,133035.5
2023-07-31,2023,2553348.2,862416.1,481543.27,129945.40000000001
2023-08-07,2023,2405538.2,806299.0,407684.81000000006,112122.40000000001
2023-08-14,2023,2464536.1,816203.7000000001,422861.52999999997,113695.40000000001
2023-08-21,2023,2576757.3000000003,824280.6,413966.41000000003,106983.5
2023-08-28,2023,2469402.0,779470.9,399693.97000000003,103993.5
2023-09-04,2023,2443769.9,772319.6,359415.81000000006,94445.0
2023-09-11,2023,2590013.4,836436.9,403115.44,108370.6
2023-09-18,2023,2469941.5,793695.5,396386.64,109643.3
2023-09-25,2023,2562619.8000000003,808684.5,441393.68,117336.7
2023-10-02,2023,2424553.3000000003,744472.3,431467.52999999997,108973.8
2023-10-09,2023,2425451.6,737206.6,442944.57999999996,108422.6
2023-10-16,2023,2333596.2,745260.1,405273.18,104119.6
2023-10-23,2023,2539446.0,829556.0,441557.35000000003,118625.0
2023-10-30,2023,2568289.1,865679.1,480475.84,131939.6
2023-11-06,2023,2469416.3000000003,840196.5,456328.99,126565.40000000001
2023-11-13,2023,2458116.7,814798.4,451950.72000000003,125336.90000000001
2023-11-20,2023,2525190.2,826727.2000000001,554491.86,145078.7
2023-11-27,2023,2472870.4,806178.1,511228.38,135547.1
2023-12-04,2023,2464104.5,810641.0,483836.99,127845.90000000001
2023-12-11,2023,2686708.7,878861.1,502614.45,131007.5
2023-12-18,2023,3397529.2,1069429.4000000001,463530.07999999996,117670.8
2023-12-25,2023,2002780.0,606425.3,416440.7,87791.6
