growth_driver_l1,growth_driver_l2,growth_driver_l3,growth_driver_l4,growth_driver_l5,metric,Starting week,investment (in pound),execution
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-01-02,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-01-09,11769.641,51140.31
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-01-16,15692.859,33377.279
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-01-23,23539.282,106851.45899999999
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-01-30,11769.641,91108.68000000001
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-02-06,8419.723,45166.97900000001
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-02-13,16266.159000000001,119531.62
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-02-20,382.2,20276.75
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-02-27,18008.094,5671.25
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-03-06,79479.53,206659.7
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-03-13,12785.487000000001,24859.536000000004
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-03-20,11547.887,166795.577
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-03-27,2758.158,640597.906
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-04-03,2834.533,273172.12
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-04-10,2701.829,157462.019
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-04-17,13537.654,236056.743
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-04-24,37392.927,297021.868
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-05-01,5385.106999999999,529727.77
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-05-08,4890.5869999999995,293517.367
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-05-15,11584.183,858863.59
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-05-22,10368.124,307441.914
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-05-29,26119.717,143968.708
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-06-05,11722.49,36733.307
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-06-12,3351.127,29470.103
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-06-19,1081.8990000000001,6286.072000000001
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-06-26,19913.062,21785.101000000002
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-07-03,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-07-10,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-07-17,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-07-24,1999.2570000000003,254.8
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-07-31,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-08-07,6456.398,20656.350000000002
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-08-14,2228.577,6383.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-08-21,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-08-28,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-09-04,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-09-11,49079.602000000006,104240.5
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-09-18,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-09-25,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-10-02,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-10-09,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-10-16,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-10-23,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-10-30,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-11-06,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-11-13,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-11-20,0.0,0.0
